ID,Name,Genes,Length
77,DNA damage checkpoint,ARID3A;ATF2;ATM;ATR;ATRIP;AURKA;BABAM1;BAX;BLM;BRCA1;BRCC3;BRIP1;BRSK1;BTG2;CARM1;CASP2;CCNB1;CCND1;CDC14B;CDC25C;CDC5L;CDK1;CDK2;CDK5RAP3;CDKN1A;CDKN1B;CEP63;CHEK1;CHEK2;CLOCK;CLSPN;CNOT1;CNOT10;CNOT11;CNOT2;CNOT3;CNOT4;CNOT6;CNOT6L;CNOT7;CNOT8;CRADD;DONSON;DOT1L;DTL;E2F1;E2F4;E2F7;E2F8;EIF2AK4;EME1;EME2;EP300;ERCC6;FANCD2;FBXO31;FBXO6;FOXN3;FOXO4;FZR1;GADD45A;GIGYF2;GML;GTSE1;HINFP;HMGA2;HUS1;HUS1B;INTS7;MAPK14;MDC1;MDM2;MDM4;MSH2;MUC1;MUS81;NBN;NEK11;PCBP4;PCNA;PEA15;PIDD1;PLAGL1;PLK1;PLK2;PLK3;PML;PRMT1;PRPF19;PTPN11;RAD1;RAD17;RAD9A;RAD9B;RBL2;RFWD3;RGCC;RHNO1;RPA2;RPA4;RPL26;RPS27L;SFN;SOX4;STK33;SYF2;TAOK1;TAOK2;TAOK3;TFDP1;TFDP2;TIPIN;TIPRL;TNKS1BP1;TOPBP1;TP53;TP53BP1;TREX1;TRIAP1;TRIM39;UIMC1;USP28;WAC;XPC;ZNF385A;ZNF830,126
79,regulation of cyclin-dependent protein serine/threonine kinase activity,ACTB;ADAM17;AKT1;APC;BCCIP;BLM;CASP3;CCNA1;CCNA2;CCNB1;CCNB2;CCNB3;CCNC;CCND1;CCND2;CCND3;CCNE1;CCNE2;CCNF;CCNG1;CCNG2;CCNH;CCNI;CCNI2;CCNJ;CCNJL;CCNK;CCNL1;CCNL2;CCNO;CCNT1;CCNT2;CCNY;CCNYL1;CDC25A;CDC25C;CDC37;CDC6;CDK4;CDK5R1;CDK5R2;CDK5RAP1;CDK5RAP3;CDK7;CDKN1A;CDKN1B;CDKN1C;CDKN2A;CDKN2B;CDKN2C;CDKN2D;CDKN3;CEBPA;CKS1B;CKS2;CNPPD1;CNTD2;DIRAS3;EGFR;FBXO7;GADD45A;GTF2H1;GTPBP4;HERC5;HEXIM1;HEXIM2;HHEX;INCA1;IPO5;IPO7;KAT2B;LATS1;LATS2;MAPRE3;MEN1;MNAT1;MYOCD;NR2F2;PDGFB;PKD1;PKD2;PKMYT1;PLK1;PROX1;PSMD10;PSRC1;PTEN;RGCC;SERTAD1;SFN;SPDYA;SRC;TFAP4;TNFAIP3;WEE2,95
82,G1/S transition of mitotic cell cycle,ACVR1;ACVR1B;BACH1;BCAT1;BRD4;CACUL1;CAMK2A;CCNA1;CCND1;CCNE1;CCNE2;CCNH;CDC25A;CDC34;CDC45;CDC6;CDC7;CDK14;CDK15;CDK16;CDK17;CDK18;CDK2;CDK3;CDK4;CDK5;CDK6;CDK7;CDKN1A;CDKN1B;CDKN2A;CDKN2C;CDKN2D;CDKN3;CDT1;CRLF3;CUL1;CUL2;CUL3;CUL4A;CUL4B;CUL5;DBF4;DHFR;E2F1;E2F3;E2F4;E2F6;E2F7;EIF4E;EIF4EBP1;ESRRB;FBXO5;GFI1;GMNN;GPR132;GSPT1;HINFP;ID2;ID4;INHBA;IQGAP3;ITGB1;KHDRBS1;KLF11;LATS1;LATS2;MAX;MCM10;MCM2;MCM3;MCM4;MCM5;MCM6;MCM7;MCM8;MNAT1;MYC;NASP;NPAT;ORC1;ORC2;ORC3;ORC4;ORC5;ORC6;PCNA;PHF8;PIAS1;PIM2;PLK2;PLK3;POLA1;POLA2;POLE;POLE2;POLE3;POLE4;PPAT;PPP3CA;PPP6C;PRIM1;RB1;RBBP8;RCC1;RHOU;RPA1;RPA2;RPA3;RPA4;RPS6KB1;RRM2;SKP2;SPDYA;TAF10;TFDP1;TFDP2;TFDP3;TRIM71;TYMS;USP26;USP29;USP37;ZNF324;ZPR1,125
83,regulation of transcription involved in G1/S transition of mitotic cell cycle,BACH1;BRD4;CCNA1;CCNE1;CDC45;CDC6;CDK14;CDK15;CDK16;CDK17;CDK18;CDK5;CDT1;DHFR;E2F1;E2F4;E2F6;E2F7;ESRRB;FBXO5;GFI1;HINFP;ID2;KLF11;NPAT;ORC1;PCNA;POLA1;RB1;RRM2;TFDP1;TFDP2;TYMS;ZPR1,34
86,G2/M transition of mitotic cell cycle,ABCB1;ACTR1A;AJUBA;AKAP9;ALMS1;ARPP19;AURKA;BACH1;BORA;BRSK1;BRSK2;BTRC;CALM3;CCNA2;CCNB1;CCNB2;CCNH;CCNY;CCP110;CDC25A;CDC25B;CDC25C;CDK1;CDK14;CDK2;CDK5RAP2;CDK7;CDKN1A;CDKN2B;CENPJ;CEP131;CEP135;CEP152;CEP164;CEP192;CEP250;CEP290;CEP41;CEP57;CEP63;CEP70;CEP72;CEP76;CEP78;CETN2;CHEK2;CKAP5;CLASP1;CNTRL;CSNK1D;CSNK1E;CUL1;DCTN1;DCTN2;DCTN3;DNM2;DYNC1H1;DYNC1I2;DYNLL1;ENSA;ESRRB;FBXL12;FBXL15;FBXL18;FBXL22;FBXL3;FBXL7;FBXL8;FBXW11;FGFR1OP;FOXM1;HAUS1;HAUS2;HAUS3;HAUS4;HAUS5;HAUS6;HAUS8;HSP90AA1;KDM8;KHDRBS1;LATS1;LCMT1;MAPRE1;MASTL;MELK;MNAT1;NDE1;NEDD1;NEK2;NES;NINL;ODF2;OFD1;OPTN;PAFAH1B1;PCM1;PCNT;PHLDA1;PKMYT1;PLCB1;PLK1;PLK3;PLK4;PPM1D;PPME1;PPP1CB;PPP1R12A;PPP1R12B;PPP2R1A;PPP2R2A;PRKACA;PRKAR2B;SDCCAG8;SFI1;SKP1;SKP2;SSNA1;TAF2;TPD52L1;TUBA1A;TUBA4A;TUBB;TUBB4A;TUBB4B;TUBG1;USH1C;WEE1;WNT10B;YWHAE;YWHAG,131
96,sulfur amino acid metabolic process,ADI1;ADO;AGXT;AHCY;APIP;BHMT;BHMT2;BLMH;CBS;CDO1;CPS1;CSAD;CTH;DPEP1;ENOPH1;GADL1;GCLC;GCLM;GGT1;GNMT;MAT1A;MPST;MRI1;MSRA;MTAP;MTHFD1;MTHFD2L;MTHFR;MTR;MTRR;NOX4;PCYOX1;PCYOX1L;SMS;TST;TXN2,36
97,sulfur amino acid biosynthetic process,ADI1;APIP;BHMT;BHMT2;CBS;CDO1;CTH;ENOPH1;GGT1;MRI1;MTAP;MTHFD1;MTHFD2L;MTHFR;MTR;MTRR,16
98,sulfur amino acid catabolic process,ADO;AGXT;BLMH;CBS;CDO1;CSAD;CTH;GADL1;MAT1A;MPST;MTRR;PCYOX1;PCYOX1L;TST;TXN2,15
132,establishment of mitotic spindle orientation,ACTR10;ACTR1A;ACTR1B;ARHGEF2;BCCIP;CDK5RAP2;CENPA;DCTN1;DYNLT1;FGF10;GJA1;GPSM2;HTT;ITGB1;MAD2L1;MCPH1;MISP;NDC80;NDE1;NDEL1;NSFL1C;NUMA1;PAFAH1B1;PAX6;PLK1;SAPCD2;SPDL1;SPRY1;SPRY2;TBCB;UBXN2B;ZW10,32
154,rRNA modification,DIMT1;DKC1;FBL;FBLL1;FDXACB1;FTSJ3;GAR1;METTL15;METTL16;METTL5;MRM1;MTERF4;NAF1;NAT10;NHP2;NOP10;NOP2;NSUN3;NSUN4;NSUN5;RPUSD1;RPUSD2;RRNAD1;TFB1M;TFB2M;THUMPD1;TRMT112;TRMT61B;TSR3;ZCCHC4,30
183,rDNA heterochromatin assembly,BAZ2A;BEND3;HIST2H3A;MBD2;RRP8;SIRT1;SIRT2;SMARCA5;SUV39H1,9
184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",CASC3;CTIF;DCP1B;DCP2;DHX34;EIF3E;EIF4A3;EIF4G1;ETF1;EXOSC10;GSPT1;GSPT2;HELZ2;MAGOH;MAGOHB;NCBP1;NCBP2;PABPC1;PARN;PNLDC1;PNRC2;PPP2CA;PPP2R1A;PPP2R2A;RBM8A;RNPS1;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL17;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36A;RPL37;RPL37A;RPL38;RPL39;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS10;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS17;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS4Y1;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA;SKIV2L;SMG1;SMG5;SMG6;SMG7;SMG8;SMG9;UBA52;UPF1;UPF2;UPF3A;UPF3B,116
185,activation of MAPKKK activity,DAB2IP;GADD45A;GADD45B;GADD45G;KSR1;MAP4K1;MAP4K2;MAP4K3;MAP4K5;TAB1;TNF;TRAF7,12
186,activation of MAPKK activity,ADAM9;ADORA1;BMP4;BRAF;CARTPT;CRK;CRKL;EGF;EGFR;EIF2AK2;ERCC6;F2R;FRS2;GADD45B;GRM1;JAK2;KIDINS220;LAMTOR2;LAMTOR3;LRRK2;MAP3K1;MAP3K10;MAP3K11;MAP3K12;MAP3K13;MAP3K15;MAP3K2;MAP3K3;MAP3K4;MAP3K5;MAP3K6;MAP3K7;MAP3K8;MAP3K9;MAPK1;MAPK3;MOS;NGF;NRK;NTRK1;PSEN1;RAF1;RAPGEF1;RIPK1;TAOK1;TAOK2;TAOK3;TGFBR1;TNIK,49
187,activation of MAPK activity,ADORA2B;ADRA2B;AGT;ALK;ARRB1;AVPI1;BIRC7;BMP2;C5;C5AR1;CCL19;CD40LG;CD74;CD81;CDK1;CHRNA7;CRKL;CSPG4;CXCL17;CXCR4;DAB2IP;DAXX;DBNL;DRD4;DUSP5;DUSP6;DUSP7;DUSP9;EGF;EPGN;ERCC6;ERN1;ERN2;ERP29;FGF1;FGF10;FGF2;FPR1;FRS2;GDF15;GFRAL;GHR;GHRL;GNG3;GRM1;GRM4;HGF;IGF1;IKBKG;IL1B;INSR;IQGAP3;IRAK1;IRAK2;ITGA1;KIT;LPAR1;LPAR3;LRRK2;MADD;MAP2K1;MAP2K2;MAP2K3;MAP2K4;MAP2K5;MAP2K6;MAP2K7;MAP3K10;MAP3K11;MAP3K12;MAP3K13;MAP3K2;MAP3K5;MAP3K6;MAP3K7;MAP3K9;MAP4K1;MAP4K2;MAP4K5;MAPK1;MAPK10;MAPK11;MAPK14;MAPK3;MAPK8IP3;MAPKAPK2;MAPKAPK3;MAPKAPK5;MDFIC;MOS;MUC20;MUL1;NOD1;NOD2;NRG1;NTF3;NTRK3;P2RX7;PAK3;PBK;PDE6G;PDE6H;PEA15;PIK3CB;PKN1;PLA2G1B;PLCE1;PRDX2;PRKAA1;PROK1;PROK2;PTPN1;PTPN11;PTPRC;RET;RIPK1;RIPK2;RPS27A;S1PR2;SAA1;SBK2;SHC1;SHC2;SOD1;SPAG9;STK39;SYK;TAB1;TAB2;TAB3;TAOK1;TAOK2;TDGF1;TF;TGFA;TGFB3;THBS1;TLR4;TNF;TNFSF11;TP73;TRAF6;UBA52;UBB;UBC;UBE2N;UBE2V1;WNT5A;WNT7B,149
188,inactivation of MAPK activity,CAV1;DUSP1;DUSP10;DUSP14;DUSP16;DUSP18;DUSP2;DUSP21;DUSP3;DUSP4;DUSP5;DUSP6;DUSP7;DUSP8;DUSP9;GPS1;GPS2;LAX1;MBIP;PP2D1;PPP2CA;PPP2R1A;RGS3;RGS4;SPRED1;SPRED2;SPRED3,27
212,meiotic spindle organization,ASPM;ATRX;AURKA;ESPL1;FBXO5;GOLGA2;MOS;MYH9;PPP2R1A;TUBB8;TUBG1;TUBG2,12
244,spliceosomal tri-snRNP complex assembly,AAR2;CD2BP2;DDX20;LSM2;PRPF19;PRPF3;PRPF31;PRPF6;PRPF8;SART3;SRSF10;SRSF12;USP4,13
245,spliceosomal complex assembly,CELF1;CELF2;CELF3;CELF4;CELF5;CELF6;CRNKL1;DDX1;DDX23;DDX39B;GCFC2;GEMIN2;GEMIN6;ISY1;LUC7L;LUC7L2;LUC7L3;NCBP1;NOL3;PRPF19;PRPF39;PRPF6;PSIP1;PTBP2;PUF60;RBM5;RBMX;SCAF11;SETX;SF1;SF3A1;SF3A2;SF3A3;SF3B1;SFSWAP;SLU7;SNRNP200;SNRPC;SNRPD1;SNRPD2;SNRPE;SNRPG;SRPK1;SRPK2;SRPK3;SRSF1;SRSF10;SRSF12;SRSF5;SRSF6;SRSF9;TXNL4A;USP39;YTHDC1;ZRSR2,55
266,mitochondrial fission,AP3B1;COX10;DNM1;DNM1L;DNM2;DNM3;FIS1;GDAP1;MFF;MIEF1;MTFP1;MTFR1;MTFR1L;MTFR2;MUL1;MX1;MX2;OPA1;SLC25A46,19
272,polysaccharide catabolic process,AGL;AOAH;CALM1;CHIA;CHIT1;G6PC;GAA;MGAM;PGM1;PGM2;PGM2L1;PHKA1;PHKA2;PHKB;PHKG1;PHKG2;PYGB;PYGL;PYGM;RB1CC1;STBD1,21
281,mitotic cytokinesis,ANK3;ANLN;APC;ARF1;ARL3;BBS4;CENPA;CEP55;CFL1;CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7;CIT;CKAP2;CNTROB;CUL7;ECT2;EFHC1;ESPL1;INCENP;JTB;KIF20A;KIF23;KIF4A;KIF4B;KLHDC8B;LZTS2;MAP9;MITD1;MYH10;NUSAP1;PDCD6IP;PLK1;PRC1;RAB35;RACGAP1;RASA1;RHOA;RHOB;RHOC;ROCK1;ROCK2;RTKN;SNX18;SNX33;SNX9;SON;SPAST;SPTBN1;STAMBP;STMN1;TRIM36;TTC19;UNC119;USP8;VPS4A;VPS4B;ZFYVE26,66
288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",CNOT1;CNOT10;CNOT11;CNOT2;CNOT3;CNOT4;CNOT6;CNOT6L;CNOT7;CNOT8;DCP1B;DCP2;DCPS;DDX6;DIS3;EDC3;EDC4;EXOSC1;EXOSC2;EXOSC3;EXOSC4;EXOSC5;EXOSC6;EXOSC7;EXOSC8;EXOSC9;HBS1L;LSM1;LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;MLH1;NT5C3B;PAN2;PAN3;PARN;PATL1;PATL2;PDE12;PNLDC1;POLR2D;RC3H1;SAMD4A;SAMD4B;SKIV2L;TNKS1BP1;TTC37;WDR61;ZFP36;ZFP36L1;ZFP36L2,54
289,nuclear-transcribed mRNA poly(A) tail shortening,CNOT1;CNOT10;CNOT11;CNOT2;CNOT3;CNOT4;CNOT6;CNOT6L;CNOT7;CNOT8;MLH1;PAN2;PAN3;PARN;PNLDC1;SAMD4A;SAMD4B;TNKS1BP1;ZFP36,19
290,deadenylation-dependent decapping of nuclear-transcribed mRNA,CNOT7;DCP1B;DCP2;DCPS;LSM1;PAN3;PATL1;PATL2,8
291,"nuclear-transcribed mRNA catabolic process, exonucleolytic",CNOT6;CNOT7;CNOT8;DCP1B;DCP2;DCPS;DDX6;DIS3;DIS3L2;EDC3;EDC4;EXOSC1;EXOSC2;EXOSC3;EXOSC4;EXOSC5;EXOSC6;EXOSC7;EXOSC8;EXOSC9;HBS1L;LSM1;LSM2;LSM3;LSM4;LSM5;LSM6;LSM7;NT5C3B;PATL1;POLR2G;SKIV2L;TTC37;WDR61,34
302,response to reactive oxygen species,ABL1;ADA;ADAM9;ADPRHL2;AGAP3;AIFM1;AKR1C3;AKT1;ANKZF1;ANXA1;APEX1;APOA4;APOD;APOE;APTX;AQP1;AREG;ARG1;ATP7A;AXL;BAD;BAK1;BCL2;BNIP3;BTK;CAMKK2;CAPN2;CASP3;CAT;CBX8;CCL19;CCNA2;CCR7;CCS;CDK1;CDK2;CFLAR;CHUK;COL1A1;CRK;CRYAB;CRYGD;CST3;CYP1B1;CYP2E1;DNM2;DPEP1;DUSP1;ECT2;EDN1;EEF2;EGFR;EGLN1;ERCC6;ERCC6L2;ETS1;EZH2;FABP1;FANCC;FER;FKBP1B;FOS;FOSL1;FOXO1;FXN;FYN;GLRX2;GPX1;GSTP1;HBA1;HBB;HDAC2;HDAC6;HMOX1;HNRNPD;HP;HSF1;HSPD1;HYAL1;HYAL2;IL18RAP;IL6;IMPACT;JUN;KCNA5;KCNC2;KDM6B;KLF2;KLF4;KPNA4;LCN2;LDHA;MAP1LC3A;MAP3K5;MAPK1;MAPK13;MAPK3;MAPK7;MAPK8;MAPK9;MAPT;MB;MDM2;MMP2;MMP3;MMP9;MPO;MPV17;MT3;MTR;MYB;NCF1;NET1;NFE2L2;NME8;NOS3;NQO1;NR4A3;NUDT15;OSER1;PARK7;PAX2;PCGF2;PCNA;PDCD10;PDGFD;PDGFRA;PDGFRB;PDK2;PKD2;PLEKHA1;PLK3;PPARGC1A;PPARGC1B;PPIF;PPP1R15B;PPP2CB;PPP5C;PRDX1;PRDX2;PRDX3;PRDX5;PRKAA1;PRKCD;PTK2B;PTPRK;PTPRN;PXN;RELA;RHOB;RIPK1;RIPK3;RNF112;ROMO1;RPS3;S100A7;SCGB1A1;SDC1;SETX;SIGMAR1;SIRPA;SIRT1;SLC8A1;SMPD3;SOD1;SOD2;SOD3;SPHK1;SRC;STAR;STAT1;STAT6;STK24;STK25;TNFAIP3;TPM1;TRA2B;TRAF2;TREX1;TRPA1;TRPC6;TRPM2;TXN;TXNIP;TXNRD2;UBE3A;UCP1;UCP3;ZNF277;ZNF580,190
303,response to superoxide,ADPRHL2;APOA4;ATP7A;CCS;ERCC6;FANCC;GLRX2;MPO;MT3;NOS3;NQO1;PRDX1;PRDX2;SOD1;SOD2;SOD3;UCP3,17
305,response to oxygen radical,ADPRHL2;APOA4;ATP7A;CCS;ERCC6;FANCC;GLRX2;MPO;MT3;NOS3;NQO1;PRDX1;PRDX2;SOD1;SOD2;SOD3;TXNRD2;UCP3,18
338,protein deneddylation,COPS2;COPS3;COPS4;COPS5;COPS6;COPS7A;COPS7B;COPS8;GPS1;TOR1A,10
380,"alternative mRNA splicing, via spliceosome",CDK13;CELF4;DDX17;DDX5;DHX9;ESRP2;HNRNPM;KDM1A;PQBP1;PUF60;RBM17;RSRC1;SCNM1;SFPQ;SFSWAP;SLU7;SRSF1;SRSF6,18
381,"regulation of alternative mRNA splicing, via spliceosome",CELF1;CELF2;CELF3;CELF4;CELF5;CELF6;DDX17;DDX5;DYRK1A;FAM172A;FMR1;FXR1;FXR2;HNRNPA1;HNRNPL;HNRNPU;IK;KHDRBS1;KHDRBS2;KHDRBS3;MAGOH;MBNL1;MBNL2;MBNL3;MYOD1;NOVA1;NOVA2;NSRP1;PTBP1;PUF60;QKI;RBFOX1;RBFOX2;RBFOX3;RBM10;RBM11;RBM15;RBM15B;RBM17;RBM19;RBM24;RBM25;RBM4;RBM4B;RBM5;RBM7;RBM8A;RBMX;REST;RNPS1;SAP18;SART3;SF1;SMU1;SREK1;SRRM4;SRSF1;SRSF10;SRSF12;SRSF2;SRSF3;SRSF4;SRSF5;SRSF6;SRSF7;SRSF9;THRAP3;TRA2B;WTAP;YTHDC1;ZBTB7A;ZC3H10,72
387,spliceosomal snRNP assembly,AAR2;CD2BP2;CLNS1A;COIL;DDX20;GEMIN2;GEMIN4;GEMIN5;GEMIN6;GEMIN7;GEMIN8;LSM2;LSM4;PRMT5;PRMT7;PRPF19;PRPF3;PRPF31;PRPF6;PRPF8;SART1;SART3;SNRPB;SNRPC;SNRPD1;SNRPD2;SNRPD3;SNRPE;SNRPF;SNRPG;SNUPN;SRSF10;SRSF12;STRAP;TGS1;USP4;WDR77,37
