"","ID","Name","Genes","Length"
"89",178,"Respiratory chain complex I (holoenzyme), mitochondrial","NDUFS8;NDUFA4;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;MT-ND1;MT-ND2;MT-ND3;MT-ND4L;MT-ND5;MT-ND6;NDUFB7;NDUFV2;NDUFS1;NDUFV1;NDUFA8;NDUFV3;NDUFA6;NDUFA5;NDUFA9;NDUFA11;NDUFB11;NDUFA13;NDUFA12;NDUFB9",44
"90",180,"PNUTS-PP1 complex","PPP1CA;PPP1R10",2
"91",181,"26S proteasome","PSMA7;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMB3;PSMB2;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSMB7;PSMD13",22
"92",186,"Wave-2 complex","CYFIP1;ABI1;BRK1;NCKAP1;WASF2",5
"93",189,"BAF complex","ARID1A;ACTL6B;ACTL6A;SMARCA2;SMARCA4;ACTB;ACTG1;SMARCB1;ARID1B;SMARCC2;SMARCC1;SMARCE1;SMARCD1",13
"94",190,"Mitotic checkpoint complex (MCC)","BUB3;BUB1B;CDC20;MAD2L1",4
"95",191,"20S proteasome","PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSMB7",14
"96",192,"PA28-20S proteasome","PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME1;PSMB7;PSME2",16
"97",193,"PA700-20S-PA28 complex","PSMD11;PSMD12;PSMD9;PSMD14;PSMA7;PSMD3;PSMD10;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMD8;PSMB3;PSMB2;PSMD7;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSME1;PSMD2;PSMD6;PSMD5;PSMB7;PSMD1;PSME2;PSMD13",36
"98",194,"PA28gamma-20S proteasome","PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME3;PSMB7",15
"99",201,"HUIC complex","BRCA1;BARD1",2
"100",202,"BRCA1-RAD50-MRE11-NBS1 complex","NBN;BRCA1;MRE11A;RAD50",4
"101",205,"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)","VHL;RBX1;CUL2;TCEB1;TCEB2",5
"102",206,"DNA ligase IV-XRCC4 complex","LIG4;XRCC4",2
"103",207,"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)","TCEB1;TCEB2;CUL5;ASB2;RNF7",5
"104",208,"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)","TCEB1;TCEB2;CUL5;RNF7;ASB1",5
"105",209,"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)","TCEB1;TCEB2;CUL5;ASB6;RNF7",5
"106",210,"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)","TCEB1;TCEB2;CUL5;ASB7;RNF7",5
"107",211,"Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)","TCEB1;TCEB2;ASB12;CUL5;RNF7",5
"108",212,"DNA ligase III-XRCC1 complex","XRCC1;LIG3",2
"109",213,"DNA ligase IV-XRCC1 complex","XRCC1;LIG4",2
"110",214,"Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)","RBX1;TCEB1;TCEB2;CUL5;WSB1",5
"111",217,"CRSP complex","MED7;MED14;MED24;MED26;MED1;MED27;MED17;MED23",8
"112",218,"CRSP complex","MED7;MED14;MED24;MED26;MED1;MED27;MED17;MED23",8
"113",219,"CAND1-CUL1-RBX1 complex","RBX1;CUL1;CAND1",3
"114",220,"ARF-Mule complex","NPM1;HUWE1;CDKN2A",3
"115",221,"CAND1-CUL2-RBX1 complex","RBX1;CUL2;CAND1",3
"116",222,"CAND1-CUL3-RBX1 complex","RBX1;CUL3;CAND1",3
"117",223,"CAND1-CUL4A-RBX1 complex","RBX1;CUL4A;CAND1",3
"118",224,"CAND1-CUL4B-RBX1 complex","RBX1;CUL4B;CAND1",3
"119",226,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1)","SKP1;SKP2;CUL1",3
"120",227,"Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)","SKP1;CUL1;BTRC",3
"121",228,"SMCC complex","MED14;MED24;MED6;CCNC;CDK8;MED21;MED1;MED31",8
"122",229,"NAT complex","MED14;MED6;CCNC;CDK8;MED21;MED10;MED23",7
"123",230,"Mediator complex","MED19;MED7;MED14;MED24;MED6;MED26;CCNC;CDK8;MED21;MED22;MED1;MED27;MED13L;MED25;MED12;MED8;MED30;MED15;MED10;MED18;CDK19;MED28;MED20;MED4;MED17;MED9;MED29;MED11;MED13;MED23;MED16;MED31",32
"124",232,"ARC complex","MED7;MED14;MED24;MED6;MED26;MED1;MED25;MED12;MED8;MED15;MED4;MED17;MED13;ACAD8;MED23",15
"125",234,"HuCHRAC complex","SMARCA5;POLE3;CHRAC1;BAZ1A",4
"126",236,"WICH complex","SMARCA5;BAZ1B",2
"127",238,"SWI-SNF chromatin remodeling-related-BRCA1 complex","ARID1A;ACTL6A;BRCA1;SMARCA2;SMARCA4;SMARCB1;SMARCC2;SMARCC1;SMARCD2;SMARCE1",10
"128",240,"BRCA1-CTIP-ZBRK1 repressor complex","BRCA1;RBBP8;ZNF350",3
"129",241,"BLOC-3 (biogenesis of lysosome-related organelles complex 3)","HPS1;HPS4",2
"130",242,"BRCA1-BACH1 complex","BRCA1;BRIP1",2
"131",243,"RalBP1-CDC2-CCNB1 complex","CDK1;CCNB1;RALBP1",3
"132",244,"BRAFT complex","FANCG;FANCA;RPA2;RPA1;RPA3;MLH1;BLM;FANCC;TOP3A;RMI1;FANCE;FANCF;FANCL",13
"133",245,"FA core complex (Fanconi anemia core complex)","FANCG;FANCA;FANCC;FAAP100;FANCB;RMI1;FANCE;FANCF;FANCL",9
"134",246,"BLM complex III","MLH1;BLM;TOP3A;RMI1",4
"135",247,"RalBP1-CCNB1-AP2A-NUMB-EPN1 complex","AP2A1;CCNB1;NUMB;RALBP1;EPN1",5
"136",248,"BRAFT complex","FANCG;FANCA;RPA2;RPA1;RPA3;BLM;FANCC;TOP3A;FANCE;FANCF;FANCL",11
"137",251,"BCDX2 complex","RAD51B;RAD51C;XRCC2;RAD51D",4
"138",252,"RAD51C-XRCC3 complex","RAD51C;XRCC3",2
"139",253,"RAD51C-XRCC3 complex","RAD51C;XRCC3",2
"140",254,"TBPIP/HOP2-MND1 complex","MND1;PSMC3IP",2
"141",256,"RAD51B-RAD51C complex","RAD51B;RAD51C",2
"142",258,"BCDX2 complex","RAD51B;RAD51C;XRCC2;RAD51D",4
"143",259,"RAD51C-XRCC3 complex","RAD51C;XRCC3",2
"144",260,"RAD51B-RAD51C complex","RAD51B;RAD51C",2
"145",261,"RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex","RAD51B;RAD51C;XRCC3;XRCC2;RAD51D",5
"146",262,"RAD51L3-XRCC2 complex","XRCC2;RAD51D",2
"147",263,"R/M complex (RAD50-MRE11 complex)","MRE11A;RAD50",2
"148",264,"R/M complex (RAD50-MRE11 complex)","MRE11A;RAD50",2
"149",265,"ATR-ATRIP complex","ATR;ATRIP",2
"150",266,"RAD17-RFC complex","RAD17;RFC4;RFC2;RFC5;RFC3",5
"151",267,"9-1-1 complex","RAD1;HUS1;RAD9A",3
"152",268,"9-1-1-RAD17-RFC complex","RAD1;HUS1;RAD17;RFC4;RFC2;RFC5;RFC3;RAD9A",8
"153",270,"RAD17-RFC complex","RAD17;RFC4;RFC2;RFC5;RFC3",5
"154",271,"9-1-1 complex","RAD1;HUS1;RAD9A",3
"155",274,"9-1-1-RAD17-RFC complex","RAD1;HUS1;RAD17;RFC4;RFC2;RFC5;RFC3;RAD9A",8
"156",275,"9-1-1 complex","RAD1;HUS1;RAD9A",3
"157",276,"9-1-1 complex","RAD1;HUS1;RAD9A",3
"158",277,"RFC complex","RFC4;RFC2;RFC1;RFC5;RFC3",5
"159",278,"RFC core complex","RFC4;RFC2;RFC5",3
"160",279,"RFC complex","RFC4;RFC2;RFC1;RFC5;RFC3",5
"161",280,"HMGB1-HMGB2-HSC70-ERP60-GAPDH complex","GAPDH;HMGB1;HSPA8;HMGB2;PDIA3",5
"162",281,"NELF complex (Negative elongation factor complex)","NELFE;NELFCD;NELFB;NELFA",4
"163",282,"SNF2h-cohesin-NuRD complex","RAD21;SMARCA5;MTA2;MBD3;RBBP4;CHD3;MTA1;HDAC1;SMC1A;RBBP7;STAG2;STAG1;HDAC2;BAZ1A;MBD2;SMC3",16
"164",283,"Sin3 complex","SAP18;SAP30;RBBP4;HDAC1;RBBP7;HDAC2;SIN3A",7
"165",284,"CRSP complex","MED7;MED14;MED24;MED6;MED26;MED21;MED1;MED25;MED15;MED17;MED23",11
"166",285,"PCNA-MLH1-PMS1 complex","PCNA;MLH1;PMS1",3
"167",286,"PCNA-MSH2-MSH6 complex","PCNA;MSH2;MSH6",3
"168",287,"ARC-L complex","MED7;MED14;MED24;MED6;CCNC;CDK8;MED21;MED1;MED25;MED12;MED15;MED17;MED13;MED23",14
"169",288,"ARC complex","MED7;MED14;MED24;MED6;MED26;CCNC;CDK8;MED21;MED1;MED25;MED12;MED15;MED17;MED13;MED23",15
"170",289,"PCNA-MSH2-MSH6 complex","PCNA;MSH2;MSH6",3
"171",290,"MSH2-MLH1-PMS2-PCNA DNA-repair initiation complex","PCNA;MLH1;MSH2;PMS2",4
"172",291,"MSH2-MLH1-PMS2 DNA-repair initiation complex","MLH1;MSH2;PMS2",3
"173",292,"MutL-alpha complex","MLH1;PMS2",2
"174",297,"PCNA-DNA polymerase delta complex","PCNA;POLD1;POLD2;POLD3;POLD4",5
"175",298,"VEGF transcriptional complex","APEX1;STAT3;HIF1A;CITED1",4
"176",299,"IRF3-CBP complex","IRF3;CITED1",2
"177",300,"PC2 complex","MED7;MED14;MED24;MED6;MED21;MED27;MED10;MED20;MED17;THRAP3;MED16;MED31",12
"178",301,"SMCC complex","MED7;MED14;MED24;MED6;CCNC;CDK8;MED21;MED1;MED27;MED12;MED10;MED20;MED17;MED13;THRAP3;MED16;MED31",17
"179",302,"INO80 chromatin remodeling complex","ACTL6A;TCF3;INO80D;NFRKB;INO80C;INO80E;MCRS1;INO80B;ACTR8;ACTR5;INO80;RUVBL2;RUVBL1",13
"180",304,"SRCAP-associated chromatin remodeling complex","ZNHIT1;YEATS4;ACTL6A;H2AFZ;VPS72;SRCAP;EAF2;ACTR6;RUVBL2;RUVBL1",10
"181",305,"40S ribosomal subunit, cytoplasmic","RPS17;RPSA;RPS2;RPS4Y1;RPS3;RPS12;RPS19;RPS27;RPS9;RPS5;RPS10;RPS20;RPS3A;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPS4X;RPS6;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPS27A;RPS21",33
"182",306,"Ribosome, cytoplasmic","RPLP1;RPLP2;RPLP0;RPS17;RPSA;RPS2;RPL35A;RPL7;RPL17;RPS4Y1;RPS3;RPS12;RPL13;RPL10;RPL12;RPL9; RPL9;RPL22;RPL4;RPS19;RPL3;RPL13A;RPS27;RPL35;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;RPL34;RPL14;RPS20;RPS3A;RPL26;RPL15;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPL7A;RPS4X;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL39;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;RPS27A;UBA52;RPL38;RPS21;RPL24;RPL36A;RPL19;RPL18A;RPL6;RPL18;RPL36",81
"183",308,"60S ribosomal subunit, cytoplasmic","RPLP1;RPLP2;RPLP0;RPL35A;RPL7;RPL17;RPL13;RPL10;RPL12;RPL9; RPL9;RPL22;RPL4;RPL3;RPL13A;RPL35;RPL27A;RPL5;RPL21;RPL28;RPL29;RPL34;RPL14;RPL26;RPL15;RPL27;RPL37A;RPL37;RPL7A;RPL23A;RPL23;RPL30;RPL39;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;UBA52;RPL38;RPL24;RPL36A;RPL19;RPL18A;RPL6;RPL18;RPL36",48
"184",310,"Cell cycle kinase complex CDC2","CCNB2;CDK1;PCNA;CCNB1;CCND1;CDKN1A",6
"185",311,"Cell cycle kinase complex CDK2","PCNA;CCND1;CDK2;CDKN1A",4
"186",312,"Cell cycle kinase complex CDK4","CDK4;PCNA;CCND1;CDKN1A",4
"187",313,"Cell cycle kinase complex CDK5","PCNA;CCND1;CCND3;CDKN1A;CDK5",5
"188",314,"PCNA-p21 complex","PCNA;CDKN1A",2
"189",315,"28S ribosomal subunit, mitochondrial","MRPS12;MRPS14;DAP3;MRPS22;MRPS25;MRPS10;MRPS35;MRPS5;MRPS36;MRPS11;MRPS15;MRPS21;MRPS34;MRPS6;MRPS9;MRPS27;MRPS31;MRPS24;MRPS26;MRPS30;MRPS18A;MRPS33;MRPS28;MRPS17;MRPS7;MRPS2;MRPS16;MRPS18C;MRPS23;MRPS18B",30
"190",320,"55S ribosome, mitochondrial","MRPS12;MRPS14;MRPL33;MRPL3;MRPL19;DAP3;MRPL12;MRPS22;MRPS25;MRPS10;MRPS35;MRPS5;MRPS36;MRPS11;MRPS15;MRPS21;MRPS34;MRPS6;MRPS9;LACTB;MRPL28;MRPL49;MRPL23;MRPL51;MRPL2;MRPL54;MRPL14;MRPL21;MRPL55;MRPL10;MRPL52;MRPL41;MRPL50;MRPL43;MRPL30;MRPS27;MRPS31;MRPL24;MRPL38;MRPS24;MRPL53;MRPL48;MRPL34;MRPL45;MRPL32;MRPL20;MRPL13;MRPL9;MRPL4;MRPL1;MRPS26;MRPL37;MRPL18;MRPL46;MRPL44;MRPL47;MRPS30;MRPL40;MRPL17;MRPS18A;MRPL22;MRPL16;MRPL39;MRPL35;MRPL15;MRPL36;MRPL27;MRPS33;MRPS28;MRPS17;MRPS7;MRPS2;MRPL11;MRPS16;MRPS18C;MRPS23;MRPS18B;MRPL42",78
"191",322,"DNA-PK-Ku complex","XRCC6;XRCC5;PRKDC",3
"192",324,"39S ribosomal subunit, mitochondrial","MRPL33;MRPL3;MRPL19;MRPL12;LACTB;MRPL28;MRPL49;MRPL23;MRPL51;MRPL2;MRPL54;MRPL14;MRPL21;MRPL55;MRPL10;MRPL52;MRPL41;MRPL50;MRPL43;MRPL30;MRPL24;MRPL38;MRPL53;MRPL48;MRPL34;MRPL45;MRPL32;MRPL20;MRPL13;MRPL9;MRPL4;MRPL1;MRPL37;MRPL18;MRPL46;MRPL44;MRPL47;MRPL40;MRPL17;MRPL22;MRPL16;MRPL39;MRPL35;MRPL15;MRPL36;MRPL27;MRPL11;MRPL42",48
"193",328,"Ku antigen complex","XRCC6;XRCC5",2
"194",330,"PSF-p54(nrb) complex","SFPQ;NONO",2
"195",331,"MRN complex (MRE11-RAD50-NBN complex)","NBN;MRE11A;RAD50",3
"196",335,"p54(nrb)-PSF-matrin3 complex","SFPQ;MATR3;NONO",3
"197",336,"DNA ligase IV-XRCC4-AHNK complex","LIG4;AHNAK;XRCC4",3
"198",338,"40S ribosomal subunit, cytoplasmic","RPS17;RPSA;RPS2;RPS3;RPS12;RPS19;RPS9;RPS5;RPS10;RPS20;RPS3A;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPS4X;RPS6;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPS27A;RPS21",31
"199",343,"Sarcoglycan-sarcospan complex SG-SPN","SGCG;SSPN;SGCB;SGCA;SGCD",5
"200",344,"DNA ligase IV-XRCC4 complex","LIG4;XRCC4",2
"201",345,"DNA ligase IV-XRCC4 complex","LIG4;XRCC4",2
"202",348,"DNA ligase IV-XRCC4 complex","LIG4;XRCC4",2
"203",350,"DNA ligase IV-XRCC4-PNK complex","LIG4;XRCC4;PNKP",3
